tissue	trait	p1_trait_prior	p2_tissue_prior	p12	pm1	pm2	enloc_enrich_intercept_effect(inteffect)	inteffect_95ci_lower	inteffect_95ci_upper	enloc_enrich_log_odds_ratio_effect(logor)	logor_95ci_lower	logor_95ci_upper
Brain_Frontal_Cortex_BA9	Birth_Weight_UKB	4.37499E-05	1.96507E-03	1.06045E-05	5.43544E-05	1.97567E-03	-10.035	-10.080	-9.991	4.813	3.570	6.055
Brain_Frontal_Cortex_BA9	Body_Fat_Percentage_UKB	9.27994E-05	1.96391E-03	1.17599E-05	1.04559E-04	1.97567E-03	-9.283	-9.309	-9.257	4.165	3.221	5.109
Brain_Frontal_Cortex_BA9	Bone_Mineral_Density	7.05351E-06	1.97566E-03	1.43022E-08	7.06782E-06	1.97567E-03	-11.860	-11.886	-11.834	0.024	-1.634	1.682
Brain_Frontal_Cortex_BA9	Breast_Cancer	2.90932E-05	1.97519E-03	4.78749E-07	2.95719E-05	1.97567E-03	-10.443	-10.545	-10.341	2.118	-1.898	6.135
Brain_Frontal_Cortex_BA9	CH2DB_NMR	4.68108E-06	1.97566E-03	9.86914E-09	4.69095E-06	1.97567E-03	-12.270	-12.298	-12.242	0.063	-1.719	1.845
Brain_Frontal_Cortex_BA9	Celiac_Disease	5.66059E-06	1.97566E-03	1.32026E-08	5.67379E-06	1.97567E-03	-12.080	-12.108	-12.052	0.164	-2.486	2.813
Brain_Frontal_Cortex_BA9	Chronic_Kidney_Disease	4.33850E-06	1.97566E-03	9.11949E-09	4.34762E-06	1.97567E-03	-12.346	-12.374	-12.318	0.060	-1.807	1.926
Brain_Frontal_Cortex_BA9	Chronotype	2.21649E-05	1.97562E-03	5.21640E-08	2.22171E-05	1.97567E-03	-10.715	-10.739	-10.691	0.173	-2.739	3.085
Brain_Frontal_Cortex_BA9	Chronotype_UKB	5.92327E-05	1.96510E-03	1.05729E-05	6.98056E-05	1.97567E-03	-9.732	-9.772	-9.692	4.507	3.273	5.741
Brain_Frontal_Cortex_BA9	Coronary_Artery_Disease	2.73990E-05	1.97461E-03	1.05562E-06	2.84546E-05	1.97567E-03	-10.503	-10.630	-10.376	2.969	-1.219	7.156
Brain_Frontal_Cortex_BA9	Crohns_Disease	2.69371E-05	1.97518E-03	4.93819E-07	2.74310E-05	1.97567E-03	-10.520	-10.637	-10.403	2.226	-1.882	6.334
Brain_Frontal_Cortex_BA9	Crohns_Disease_UKBS	2.22315E-05	1.97563E-03	4.04229E-08	2.22719E-05	1.97567E-03	-10.712	-10.736	-10.688	-0.085	-1.594	1.423
Brain_Frontal_Cortex_BA9	Deep_Venous_Thrombosis_UKB	9.88010E-06	1.97565E-03	2.05612E-08	9.90067E-06	1.97567E-03	-11.523	-11.549	-11.497	0.050	-3.373	3.474
Brain_Frontal_Cortex_BA9	Deep_Venous_Thrombosis_UKBS	9.70385E-06	1.97565E-03	1.99137E-08	9.72377E-06	1.97567E-03	-11.541	-11.567	-11.515	0.036	-2.304	2.376
Brain_Frontal_Cortex_BA9	Depressive_Symptoms	9.65546E-06	1.97565E-03	1.92866E-08	9.67474E-06	1.97567E-03	-11.546	-11.572	-11.520	0.009	-1.820	1.837
Brain_Frontal_Cortex_BA9	Diastolic_Blood_Pressure	1.14561E-05	1.97565E-03	2.26103E-08	1.14787E-05	1.97567E-03	-11.375	-11.400	-11.350	-0.003	-1.785	1.780
Brain_Frontal_Cortex_BA9	ER-negative_Breast_Cancer	2.47669E-05	1.97555E-03	1.22653E-07	2.48896E-05	1.97567E-03	-10.604	-10.644	-10.565	0.917	-2.403	4.238
Brain_Frontal_Cortex_BA9	ER-positive_Breast_Cancer	8.17046E-06	1.97565E-03	1.98342E-08	8.19029E-06	1.97567E-03	-11.713	-11.739	-11.687	0.204	-1.702	2.110
Brain_Frontal_Cortex_BA9	Eczema	1.20796E-05	1.97559E-03	8.42152E-08	1.21638E-05	1.97567E-03	-11.322	-11.361	-11.284	1.259	-1.307	3.826
Brain_Frontal_Cortex_BA9	Eczema_UKBS	1.19714E-05	1.97564E-03	2.89162E-08	1.20003E-05	1.97567E-03	-11.331	-11.363	-11.298	0.199	-2.059	2.456
Brain_Frontal_Cortex_BA9	Education_Years	7.24908E-05	1.96991E-03	5.76463E-06	7.82555E-05	1.97567E-03	-9.530	-9.563	-9.496	3.696	2.060	5.333
Brain_Frontal_Cortex_BA9	Eosinophil_Count	6.66507E-05	1.96945E-03	6.22459E-06	7.28753E-05	1.97567E-03	-9.614	-9.648	-9.579	3.857	2.552	5.162
Brain_Frontal_Cortex_BA9	Epilepsy	4.35589E-06	1.97566E-03	8.73566E-09	4.36462E-06	1.97567E-03	-12.342	-12.370	-12.314	0.013	-2.181	2.206
Brain_Frontal_Cortex_BA9	Epilepsy_UKB	3.34650E-05	1.97562E-03	5.35915E-08	3.35186E-05	1.97567E-03	-10.303	-10.326	-10.280	-0.212	-2.352	1.928
Brain_Frontal_Cortex_BA9	Fasting_Glucose	7.15296E-06	1.97565E-03	1.72431E-08	7.17020E-06	1.97567E-03	-11.846	-11.873	-11.819	0.197	-1.823	2.218
Brain_Frontal_Cortex_BA9	Fasting_Insulin	4.21276E-07	1.97567E-03	8.33950E-10	4.22110E-07	1.97567E-03	-14.678	-14.712	-14.644	0.000	-0.837	0.837
Brain_Frontal_Cortex_BA9	Fathers_Age_At_Death_UKB	1.28780E-05	1.97558E-03	9.15030E-08	1.29695E-05	1.97567E-03	-11.258	-11.449	-11.068	1.278	-3.217	5.773
Brain_Frontal_Cortex_BA9	Fluid_Intelligence_Score_UKB	4.41013E-05	1.96492E-03	1.07532E-05	5.48545E-05	1.97567E-03	-10.027	-10.067	-9.987	4.819	3.537	6.102
Brain_Frontal_Cortex_BA9	Gout_UKBS	1.45344E-05	1.97564E-03	3.24728E-08	1.45669E-05	1.97567E-03	-11.137	-11.163	-11.110	0.121	-1.773	2.015
Brain_Frontal_Cortex_BA9	Granulocyte_Count	6.53964E-05	1.96758E-03	8.08944E-06	7.34859E-05	1.97567E-03	-9.633	-9.670	-9.597	4.139	2.922	5.357
Brain_Frontal_Cortex_BA9	HDL_Cholesterol	3.07074E-05	1.97556E-03	1.12997E-07	3.08204E-05	1.97567E-03	-10.389	-10.414	-10.364	0.620	-1.668	2.908
Brain_Frontal_Cortex_BA9	HDL_Cholesterol_NMR	8.47842E-06	1.97565E-03	1.78394E-08	8.49626E-06	1.97567E-03	-11.676	-11.702	-11.650	0.061	-1.837	1.959
Brain_Frontal_Cortex_BA9	Hayfever_UKB	4.63623E-05	1.96985E-03	5.82239E-06	5.21847E-05	1.97567E-03	-9.977	-10.016	-9.938	4.153	2.612	5.693
Brain_Frontal_Cortex_BA9	Heart_Attack_UKB	1.43323E-05	1.97562E-03	5.14388E-08	1.43838E-05	1.97567E-03	-11.151	-11.178	-11.125	0.595	-1.955	3.146
Brain_Frontal_Cortex_BA9	Heart_Rate	1.41756E-05	1.97558E-03	8.79153E-08	1.42635E-05	1.97567E-03	-11.162	-11.236	-11.088	1.142	-2.122	4.406
Brain_Frontal_Cortex_BA9	Height	1.19751E-04	1.96819E-03	7.48475E-06	1.27236E-04	1.97567E-03	-9.028	-9.054	-9.002	3.456	2.354	4.559
Brain_Frontal_Cortex_BA9	High_Cholesterol_UKBS	2.91514E-05	1.97423E-03	1.44330E-06	3.05947E-05	1.97567E-03	-10.441	-10.549	-10.333	3.220	-0.717	7.157
Brain_Frontal_Cortex_BA9	High_Light_Scatter_Reticulocyte_Count	6.60536E-05	1.96933E-03	6.33728E-06	7.23909E-05	1.97567E-03	-9.623	-9.659	-9.587	3.884	2.555	5.213
Brain_Frontal_Cortex_BA9	Hip_Circumference_EUR	2.93562E-05	1.97516E-03	5.12427E-07	2.98686E-05	1.97567E-03	-10.434	-10.492	-10.375	2.177	-1.079	5.433
Brain_Frontal_Cortex_BA9	Hypertension_UKBS	6.41657E-05	1.96535E-03	1.03235E-05	7.44892E-05	1.97567E-03	-9.652	-9.680	-9.624	4.403	3.322	5.483
Brain_Frontal_Cortex_BA9	Hyperthyroidism_UKBS	1.48428E-05	1.97564E-03	3.21818E-08	1.48750E-05	1.97567E-03	-11.116	-11.141	-11.091	0.091	-1.648	1.830
Brain_Frontal_Cortex_BA9	Hypothyroidism_UKBS	3.81107E-05	1.97174E-03	3.92621E-06	4.20369E-05	1.97567E-03	-10.173	-10.248	-10.098	3.954	1.038	6.871
Brain_Frontal_Cortex_BA9	Inflammatory_Bowel_Disease	2.90932E-05	1.96988E-03	5.79344E-06	3.48866E-05	1.97567E-03	-10.443	-10.501	-10.385	4.614	2.938	6.290
Brain_Frontal_Cortex_BA9	Inflammatory_Bowel_Disease_UKBS	8.66993E-05	1.97557E-03	1.02244E-07	8.68016E-05	1.97567E-03	-9.351	-9.372	-9.330	-0.518	-1.688	0.653
Brain_Frontal_Cortex_BA9	Insomnia_In_Both_Sexes	5.75764E-06	1.97566E-03	1.14663E-08	5.76910E-06	1.97567E-03	-12.063	-12.090	-12.036	0.006	-3.118	3.130
Brain_Frontal_Cortex_BA9	Insomnia_UKB	3.34650E-05	1.96571E-03	9.96031E-06	4.34253E-05	1.97567E-03	-10.303	-10.357	-10.249	5.018	3.566	6.470
Brain_Frontal_Cortex_BA9	Insomnia_UKBS	5.36499E-05	1.97559E-03	7.54432E-08	5.37253E-05	1.97567E-03	-9.831	-9.853	-9.809	-0.342	-1.746	1.062
Brain_Frontal_Cortex_BA9	Intracraneal_Volume	1.87861E-06	1.97567E-03	3.74124E-09	1.88235E-06	1.97567E-03	-13.183	-13.212	-13.154	0.006	-7.513	7.525
Brain_Frontal_Cortex_BA9	Irritable_Bowel_Syndrome_UKBS	1.75511E-06	1.97567E-03	3.52336E-09	1.75863E-06	1.97567E-03	-13.251	-13.281	-13.221	0.014	-3.298	3.326
Brain_Frontal_Cortex_BA9	LDL_Cholesterol	2.55978E-05	1.97545E-03	2.16872E-07	2.58147E-05	1.97567E-03	-10.571	-10.604	-10.538	1.454	-1.508	4.416
Brain_Frontal_Cortex_BA9	LDL_Cholesterol_NMR	1.04701E-05	1.97562E-03	4.64044E-08	1.05165E-05	1.97567E-03	-11.465	-11.506	-11.425	0.806	-2.598	4.210
Brain_Frontal_Cortex_BA9	Lymphocyte_Count	7.28542E-05	1.97131E-03	4.36427E-06	7.72185E-05	1.97567E-03	-9.525	-9.574	-9.477	3.412	1.433	5.390
Brain_Frontal_Cortex_BA9	Migraine_UKB	2.69911E-05	1.97562E-03	4.51231E-08	2.70362E-05	1.97567E-03	-10.518	-10.542	-10.495	-0.169	-11.229	10.891
Brain_Frontal_Cortex_BA9	Migraine_UKBS	1.28909E-05	1.97564E-03	2.54167E-08	1.29163E-05	1.97567E-03	-11.257	-11.282	-11.232	-0.004	-1.508	1.501
Brain_Frontal_Cortex_BA9	Monocyte_Count	6.91628E-05	1.96629E-03	9.38303E-06	7.85459E-05	1.97567E-03	-9.577	-9.609	-9.544	4.232	3.168	5.297
Brain_Frontal_Cortex_BA9	Mothers_Age_At_Death_UKB	4.91125E-06	1.97566E-03	9.87902E-09	4.92113E-06	1.97567E-03	-12.222	-12.250	-12.194	0.016	-1.906	1.939
Brain_Frontal_Cortex_BA9	Multiple_Sclerosis	1.22377E-05	1.97562E-03	4.77698E-08	1.22855E-05	1.97567E-03	-11.309	-11.348	-11.270	0.679	-2.386	3.745
Brain_Frontal_Cortex_BA9	Multiple_Sclerosis_UKBS	2.00758E-05	1.97563E-03	3.82980E-08	2.01141E-05	1.97567E-03	-10.814	-10.839	-10.789	-0.037	-1.640	1.566
Brain_Frontal_Cortex_BA9	Myeloid_White_Cell_Count	6.54618E-05	1.96657E-03	9.09793E-06	7.45598E-05	1.97567E-03	-9.632	-9.666	-9.599	4.256	3.137	5.375
Brain_Frontal_Cortex_BA9	Neuroticism	7.97812E-08	1.97567E-03	1.57933E-10	7.99392E-08	1.97567E-03	-16.342	-16.379	-16.305	0.000	-0.435	0.435
Brain_Frontal_Cortex_BA9	Neuroticism_UKB	5.40808E-05	1.96759E-03	8.08139E-06	6.21622E-05	1.97567E-03	-9.823	-9.860	-9.786	4.328	2.941	5.716
Brain_Frontal_Cortex_BA9	Neutrophil_Count	6.41016E-05	1.96727E-03	8.40143E-06	7.25030E-05	1.97567E-03	-9.653	-9.686	-9.619	4.197	3.013	5.381
Brain_Frontal_Cortex_BA9	Osteoporosis_UKBS	1.13876E-05	1.97565E-03	2.38410E-08	1.14114E-05	1.97567E-03	-11.381	-11.407	-11.355	0.056	-1.943	2.055
Brain_Frontal_Cortex_BA9	Parkinsons_Disease_UKBS	3.27041E-05	1.97562E-03	5.33242E-08	3.27574E-05	1.97567E-03	-10.326	-10.349	-10.303	-0.194	-3.667	3.279
Brain_Frontal_Cortex_BA9	Platelet_Count	7.82145E-05	1.96707E-03	8.59605E-06	8.68105E-05	1.97567E-03	-9.454	-9.486	-9.422	4.021	2.909	5.133
Brain_Frontal_Cortex_BA9	Psoriasis_UKBS	1.80386E-05	1.97558E-03	9.22379E-08	1.81309E-05	1.97567E-03	-10.921	-10.959	-10.884	0.949	-1.815	3.712
Brain_Frontal_Cortex_BA9	Psychological_Problem_UKBS	5.11356E-05	1.97560E-03	7.33602E-08	5.12090E-05	1.97567E-03	-9.879	-9.901	-9.857	-0.322	-1.786	1.141
Brain_Frontal_Cortex_BA9	Pubertal_Height_Female	6.91102E-07	1.97567E-03	1.36809E-09	6.92470E-07	1.97567E-03	-14.183	-14.215	-14.151	0.000	-1.542	1.542
Brain_Frontal_Cortex_BA9	Pubertal_Height_Male	1.27320E-06	1.97567E-03	2.58679E-09	1.27578E-06	1.97567E-03	-13.572	-13.603	-13.541	0.026	-2.021	2.073
Brain_Frontal_Cortex_BA9	Pulmonary_Embolism_UKB	1.26356E-05	1.97565E-03	2.42740E-08	1.26599E-05	1.97567E-03	-11.277	-11.303	-11.251	-0.030	-1.482	1.422
Brain_Frontal_Cortex_BA9	Red_Blood_Cell_Count	7.20572E-05	1.96653E-03	9.14333E-06	8.12006E-05	1.97567E-03	-9.536	-9.569	-9.503	4.165	3.118	5.212
Brain_Frontal_Cortex_BA9	Reticulocyte_Count	6.56585E-05	1.96978E-03	5.88660E-06	7.15451E-05	1.97567E-03	-9.629	-9.672	-9.587	3.816	2.346	5.286
Brain_Frontal_Cortex_BA9	Rheumatoid_Arthritis	2.84317E-05	1.97162E-03	4.04957E-06	3.24813E-05	1.97567E-03	-10.466	-10.518	-10.414	4.278	2.513	6.043
Brain_Frontal_Cortex_BA9	Rheumatoid_Arthritis_UKBS	1.01201E-05	1.97565E-03	1.96172E-08	1.01397E-05	1.97567E-03	-11.499	-11.525	-11.473	-0.021	-1.586	1.544
Brain_Frontal_Cortex_BA9	Schizophrenia	7.97146E-05	1.96395E-03	1.17249E-05	9.14395E-05	1.97567E-03	-9.435	-9.476	-9.393	4.314	3.181	5.448
Brain_Frontal_Cortex_BA9	Schizophrenia_UKBS	4.88857E-05	1.97560E-03	7.09789E-08	4.89566E-05	1.97567E-03	-9.924	-9.947	-9.901	-0.310	-1.836	1.216
Brain_Frontal_Cortex_BA9	Sleep_Duration	8.76288E-06	1.97565E-03	1.74512E-08	8.78033E-06	1.97567E-03	-11.643	-11.669	-11.617	0.006	-3.292	3.304
Brain_Frontal_Cortex_BA9	Sleep_Duration_UKB	4.13673E-05	1.96650E-03	9.17067E-06	5.05380E-05	1.97567E-03	-10.091	-10.136	-10.045	4.723	3.240	6.207
Brain_Frontal_Cortex_BA9	Smoker	4.29357E-07	1.97567E-03	8.49946E-10	4.30207E-07	1.97567E-03	-14.659	-14.692	-14.626	-0.000	-1.271	1.270
Brain_Frontal_Cortex_BA9	Standing_Height_UKB	1.06637E-04	1.96553E-03	1.01403E-05	1.16777E-04	1.97567E-03	-9.144	-9.168	-9.120	3.877	3.091	4.662
Brain_Frontal_Cortex_BA9	Stroke	1.26685E-06	1.97567E-03	2.52040E-09	1.26937E-06	1.97567E-03	-13.577	-13.608	-13.546	0.005	-1.515	1.525
Brain_Frontal_Cortex_BA9	Sum_Basophil_Neutrophil_Count	6.43585E-05	1.96747E-03	8.20302E-06	7.25615E-05	1.97567E-03	-9.649	-9.679	-9.618	4.169	2.963	5.376
Brain_Frontal_Cortex_BA9	Sum_Eosinophil_Basophil_Count	6.58558E-05	1.96923E-03	6.43916E-06	7.22949E-05	1.97567E-03	-9.626	-9.661	-9.591	3.903	2.657	5.149
Brain_Frontal_Cortex_BA9	Sum_Neutrophil_Eosinophil_Count	6.55929E-05	1.96803E-03	7.63536E-06	7.32282E-05	1.97567E-03	-9.630	-9.662	-9.598	4.078	2.831	5.325
Brain_Frontal_Cortex_BA9	Systemic_Lupus_Erythematosus	3.58555E-05	1.97538E-03	2.88666E-07	3.61442E-05	1.97567E-03	-10.234	-10.285	-10.182	1.403	-2.415	5.222
Brain_Frontal_Cortex_BA9	Systolic_Blood_Pressure	1.11956E-05	1.97564E-03	3.13559E-08	1.12270E-05	1.97567E-03	-11.398	-11.425	-11.371	0.347	-2.405	3.100
Brain_Frontal_Cortex_BA9	Triglycerides	2.39869E-05	1.97509E-03	5.84714E-07	2.45716E-05	1.97567E-03	-10.636	-10.674	-10.599	2.511	0.323	4.700
Brain_Frontal_Cortex_BA9	Triglycerides_NMR	1.04283E-05	1.97564E-03	3.40354E-08	1.04623E-05	1.97567E-03	-11.469	-11.495	-11.443	0.500	-2.869	3.868
Brain_Frontal_Cortex_BA9	Type_1_Diabetes_UKBS	5.60070E-05	1.97559E-03	7.73530E-08	5.60844E-05	1.97567E-03	-9.788	-9.810	-9.766	-0.360	-1.713	0.993
Brain_Frontal_Cortex_BA9	Type_2_Diabetes	1.56507E-05	1.97564E-03	3.41376E-08	1.56849E-05	1.97567E-03	-11.063	-11.088	-11.038	0.097	-2.028	2.221
Brain_Frontal_Cortex_BA9	Type_2_Diabetes_UKBS	1.10179E-05	1.97565E-03	2.11451E-08	1.10391E-05	1.97567E-03	-11.414	-11.440	-11.388	-0.031	-1.500	1.438
Brain_Frontal_Cortex_BA9	Ulcerative_Colitis	2.47917E-05	1.97506E-03	6.06746E-07	2.53984E-05	1.97567E-03	-10.603	-10.727	-10.480	2.515	-1.730	6.760
Brain_Frontal_Cortex_BA9	Ulcerative_Colitis_UKBS	1.62732E-05	1.97564E-03	3.26682E-08	1.63058E-05	1.97567E-03	-11.024	-11.049	-10.999	0.014	-1.577	1.605
Brain_Frontal_Cortex_BA9	Waist-to-Hip_Ratio_EUR	1.89635E-05	1.97562E-03	4.78176E-08	1.90113E-05	1.97567E-03	-10.871	-10.896	-10.846	0.242	-2.888	3.372
Brain_Frontal_Cortex_BA9	Waist_Circumference_EUR	2.71807E-05	1.97538E-03	2.89823E-07	2.74705E-05	1.97567E-03	-10.511	-10.576	-10.446	1.684	-2.078	5.447
Brain_Frontal_Cortex_BA9	White_Blood_Cell_Count	7.19852E-05	1.96766E-03	8.00928E-06	7.99945E-05	1.97567E-03	-9.537	-9.572	-9.502	4.033	2.876	5.190
Brain_Hippocampus	Adiponectin	7.32177E-06	1.64976E-03	1.57233E-08	7.33749E-06	1.64978E-03	-11.823	-11.849	-11.797	0.262	-2.192	2.716
Brain_Hippocampus	Alzheimers_Disease	1.36788E-05	1.64974E-03	4.23991E-08	1.37212E-05	1.64978E-03	-11.198	-11.282	-11.115	0.629	-3.144	4.402
Brain_Hippocampus	Ankylosing_Spondylitis_UKBS	2.19955E-05	1.64975E-03	3.45059E-08	2.20300E-05	1.64978E-03	-10.723	-10.747	-10.699	-0.052	-1.564	1.459
Brain_Hippocampus	Asthma	1.27413E-05	1.64976E-03	2.16313E-08	1.27629E-05	1.64978E-03	-11.269	-11.294	-11.244	0.027	-1.604	1.658
Brain_Hippocampus	Asthma_TAGC_EUR	1.67574E-05	1.64975E-03	2.84781E-08	1.67859E-05	1.64978E-03	-10.995	-11.020	-10.970	0.028	-1.646	1.702
Brain_Hippocampus	Asthma_UKB	3.82759E-05	1.64811E-03	1.67428E-06	3.99502E-05	1.64978E-03	-10.169	-10.256	-10.082	3.277	-0.618	7.172
Brain_Hippocampus	Asthma_UKBS	3.86993E-05	1.64745E-03	2.33027E-06	4.10295E-05	1.64978E-03	-10.158	-10.236	-10.081	3.597	0.192	7.003
Brain_Hippocampus	Attention_Deficit_Hyperactivity_Disorder	3.57240E-05	1.64970E-03	7.78750E-08	3.58019E-05	1.64978E-03	-10.238	-10.261	-10.215	0.277	-2.221	2.775
Brain_Hippocampus	Autism_Spectrum_Disorder	8.59726E-07	1.64978E-03	1.42212E-09	8.61148E-07	1.64978E-03	-13.965	-13.997	-13.933	0.001	-2.074	2.076
Brain_Hippocampus	BMI_Active_Inds	2.08810E-05	1.64925E-03	5.31568E-07	2.14125E-05	1.64978E-03	-10.775	-10.883	-10.667	2.735	-1.316	6.785
Brain_Hippocampus	BMI_Childhood	1.29338E-05	1.64976E-03	2.16529E-08	1.29555E-05	1.64978E-03	-11.254	-11.279	-11.229	0.013	-2.523	2.549
Brain_Hippocampus	BMI_EUR	4.01981E-05	1.64845E-03	1.33055E-06	4.15286E-05	1.64978E-03	-10.120	-10.175	-10.065	2.998	0.176	5.821
Brain_Hippocampus	BMI_UKB	9.84709E-05	1.64071E-03	9.06921E-06	1.07540E-04	1.64978E-03	-9.224	-9.251	-9.197	4.026	2.961	5.091
Brain_Hippocampus	Balding_Pattern_2_UKB	2.38274E-05	1.64974E-03	3.94537E-08	2.38668E-05	1.64978E-03	-10.643	-10.667	-10.619	0.002	-1.586	1.589
Brain_Hippocampus	Balding_Pattern_3_UKB	2.16464E-05	1.64972E-03	6.00463E-08	2.17064E-05	1.64978E-03	-10.739	-10.765	-10.714	0.518	-1.555	2.592
Brain_Hippocampus	Balding_Pattern_4_UKB	5.18216E-05	1.64964E-03	1.40340E-07	5.19620E-05	1.64978E-03	-9.866	-9.889	-9.843	0.494	-1.660	2.648
Brain_Hippocampus	Birth_Length	1.04588E-06	1.64978E-03	1.73525E-09	1.04761E-06	1.64978E-03	-13.769	-13.800	-13.738	0.004	-1.405	1.412
Brain_Hippocampus	Birth_Weight	2.94835E-05	1.64782E-03	1.96248E-06	3.14459E-05	1.64978E-03	-10.430	-10.569	-10.291	3.697	-0.741	8.135
Brain_Hippocampus	Birth_Weight_UKB	4.53230E-05	1.64168E-03	8.10493E-06	5.34279E-05	1.64978E-03	-10.000	-10.041	-9.959	4.689	3.247	6.132
Brain_Hippocampus	Body_Fat_Percentage_UKB	9.42325E-05	1.64056E-03	9.22383E-06	1.03456E-04	1.64978E-03	-9.268	-9.296	-9.239	4.087	2.976	5.199
Brain_Hippocampus	Bone_Mineral_Density	7.05582E-06	1.64977E-03	1.16365E-08	7.06745E-06	1.64978E-03	-11.860	-11.886	-11.834	-0.002	-1.356	1.352
Brain_Hippocampus	Breast_Cancer	2.81862E-05	1.64705E-03	2.73120E-06	3.09174E-05	1.64978E-03	-10.475	-10.533	-10.417	4.073	1.913	6.233
Brain_Hippocampus	CH2DB_NMR	4.68261E-06	1.64977E-03	8.41611E-09	4.69102E-06	1.64978E-03	-12.270	-12.298	-12.242	0.084	-1.549	1.718
Brain_Hippocampus	Celiac_Disease	5.66243E-06	1.64977E-03	1.13492E-08	5.67378E-06	1.64978E-03	-12.080	-12.107	-12.052	0.193	-2.243	2.628
Brain_Hippocampus	Chronic_Kidney_Disease	4.33992E-06	1.64977E-03	7.63809E-09	4.34755E-06	1.64978E-03	-12.346	-12.374	-12.318	0.063	-1.749	1.875
Brain_Hippocampus	Chronotype	2.21057E-05	1.64973E-03	5.09641E-08	2.21567E-05	1.64978E-03	-10.718	-10.760	-10.677	0.333	-2.284	2.949
Brain_Hippocampus	Chronotype_UKB	6.08127E-05	1.64183E-03	7.94521E-06	6.87579E-05	1.64978E-03	-9.706	-9.739	-9.672	4.375	2.973	5.777
Brain_Hippocampus	Coronary_Artery_Disease	2.86694E-05	1.64955E-03	2.27015E-07	2.88964E-05	1.64978E-03	-10.458	-10.569	-10.347	1.567	-2.625	5.758
Brain_Hippocampus	Crohns_Disease	2.73805E-05	1.64955E-03	2.27924E-07	2.76084E-05	1.64978E-03	-10.504	-10.612	-10.396	1.617	-2.515	5.750
Brain_Hippocampus	Crohns_Disease_UKBS	2.22388E-05	1.64975E-03	3.45059E-08	2.22733E-05	1.64978E-03	-10.712	-10.736	-10.688	-0.063	-1.527	1.401
Brain_Hippocampus	Deep_Venous_Thrombosis_UKB	9.88333E-06	1.64976E-03	1.68802E-08	9.90021E-06	1.64978E-03	-11.523	-11.549	-11.497	0.033	-1.809	1.875
Brain_Hippocampus	Deep_Venous_Thrombosis_UKBS	9.70702E-06	1.64976E-03	1.67290E-08	9.72375E-06	1.64978E-03	-11.541	-11.567	-11.515	0.042	-1.899	1.983
Brain_Hippocampus	Depressive_Symptoms	9.65861E-06	1.64976E-03	1.60730E-08	9.67468E-06	1.64978E-03	-11.546	-11.572	-11.520	0.007	-1.891	1.905
Brain_Hippocampus	Diastolic_Blood_Pressure	1.14598E-05	1.64976E-03	2.02295E-08	1.14801E-05	1.64978E-03	-11.375	-11.400	-11.350	0.066	-2.081	2.214
Brain_Hippocampus	ER-negative_Breast_Cancer	2.42602E-05	1.64915E-03	6.29402E-07	2.48896E-05	1.64978E-03	-10.625	-10.685	-10.564	2.754	-0.217	5.726
Brain_Hippocampus	ER-positive_Breast_Cancer	8.17312E-06	1.64977E-03	1.38897E-08	8.18701E-06	1.64978E-03	-11.713	-11.739	-11.687	0.028	-1.803	1.858
Brain_Hippocampus	Eczema	1.21806E-05	1.64976E-03	2.18924E-08	1.22025E-05	1.64978E-03	-11.314	-11.340	-11.289	0.084	-1.898	2.066
Brain_Hippocampus	Eczema_UKBS	1.20113E-05	1.64976E-03	2.03919E-08	1.20317E-05	1.64978E-03	-11.328	-11.354	-11.303	0.027	-1.391	1.444
Brain_Hippocampus	Education_Years	7.28051E-05	1.64599E-03	3.78898E-06	7.65941E-05	1.64978E-03	-9.526	-9.590	-9.462	3.452	0.570	6.333
Brain_Hippocampus	Eosinophil_Count	6.74773E-05	1.64471E-03	5.07495E-06	7.25523E-05	1.64978E-03	-9.602	-9.649	-9.556	3.821	2.256	5.386
Brain_Hippocampus	Epilepsy	4.35731E-06	1.64977E-03	7.25832E-09	4.36457E-06	1.64978E-03	-12.342	-12.370	-12.314	0.008	-1.814	1.831
Brain_Hippocampus	Epilepsy_UKB	3.34759E-05	1.64973E-03	4.80443E-08	3.35239E-05	1.64978E-03	-10.303	-10.326	-10.280	-0.141	-3.995	3.712
Brain_Hippocampus	Fasting_Glucose	7.16245E-06	1.64976E-03	1.73422E-08	7.17979E-06	1.64978E-03	-11.845	-11.872	-11.818	0.382	-1.925	2.688
Brain_Hippocampus	Fasting_Insulin	4.21413E-07	1.64978E-03	6.96388E-10	4.22110E-07	1.64978E-03	-14.678	-14.712	-14.644	0.000	-0.703	0.703
Brain_Hippocampus	Fathers_Age_At_Death_UKB	1.27413E-05	1.64962E-03	1.64688E-07	1.29060E-05	1.64978E-03	-11.269	-11.488	-11.049	2.057	-2.812	6.926
Brain_Hippocampus	Fluid_Intelligence_Score_UKB	4.49619E-05	1.64071E-03	9.06921E-06	5.40311E-05	1.64978E-03	-10.008	-10.060	-9.956	4.810	3.423	6.197
Brain_Hippocampus	Gout_UKBS	1.45391E-05	1.64975E-03	2.73341E-08	1.45665E-05	1.64978E-03	-11.137	-11.163	-11.111	0.129	-1.693	1.950
Brain_Hippocampus	Granulocyte_Count	6.54832E-05	1.64208E-03	7.70382E-06	7.31870E-05	1.64978E-03	-9.632	-9.671	-9.592	4.270	2.986	5.555
